Title,RQ1 Year,RQ2 Venue,RQ3 VenueType,RQ3 PaperType,RQ4 MDETask,RQ4 SubCategoryOfModelGeneration,RQ5 SEActivity,RQ5 SETask,RQ6 ModelingLanguage,RQ6 ModelType,RQ7 ApplicationDomain,RQ8 FoundationLLMFamiliy,RQ9 Prompt-engineering,RQ10 EnhancementTechnique,RQ10 EnhancedLLM,RQ11 Integration,RQ12 InteractionPattern,RQ13 EffectivenessMetric,RQ13 TimeCostMetric,RQ13 ResourceCostMetric,RQ14 Baseline,RQ15 EvaluationSubjectType,RQ15 SourceCodeLink,RQ15 PromptLink,RQ15 EnhancedLLMLink,RQ15 EvaluationSubjectLink
Leveraging LLMs to Automate Software Architecture Design from Informal Specifications,2025,International Conference on Software Architecture Companion,Workshop,Proposed method,Model generation,Standard language每based modeling,Software Architecture,Architecture Synthesis,UML,Component,General,[LLaMA; Mistral; GPT],One-shot,No,N/A,PlantUML,No,# of correct outputs[Syn; Correctness; False; Quant; obj]; # of syntactic errors[Syn; Correctness; False; Quant; obj]; # of missing elements[Sem; Completeness; True; Quant; obj]; Discrepancy in # of elements[Sem; Complexity; True; Quant; obj],No,No,No,Closed,No,No,N/A,No
Assessment of large language models for use in generative design of model based spacecraft system architectures,2025,Journal of Engineering Design,Journal,Proposed method,Model generation,Domain-specific modeling,Software Architecture,Architecture Synthesis,DSL,DSM,Spacecraft,GPT,Zero-shot+Prompt Chaining,No,N/A,Eclipse Capella,Decision or selection,Rating[Sem; Traceability; True; Qual; subj]; Specificity[Sem; Granularity; True; Quant; obj]; Precision[Sem; Correctness; True; Quant; obj]; Recall[Sem; Completeness; True; Quant; obj],No,Monetary cost; Token consumption,No,"Closed; 
Industrial - closed",No,No,N/A,No
Collaboration with Generative AI to improve Requirements Change,2025,Computer Standards & Interfaces,Journal,Proposed method,Model transformation; Model generation; Model evolution; Model-based code evolution,Standard language每based modeling,Software Design; Software Maintenance; Software Engineering Management,Model-Based Design; Evolution of Software; Traceability analysis,SysML v1,Requirement; Use Case; Activity,General,GPT,Role+Chain-of-thought,No,N/A,PlantUML,Decision or selection,No,Total task duration,No,No,Closed,No,No,N/A,No
Model-based test execution from high-level natural language instructions using GPT-4,2025,Software Quality Journal,Journal,Proposed method,Model-based test execution,N/A,Software Testing,Test Design and Implementation,DSL,State Machine,Smart TVs,GPT,Zero-shot,No,N/A,No,No,No,Inference/generation time,No,No,Closed,No,No,N/A,No
Leveraging machines to derive domain models from user stories,2025,Requirements Engineering,Journal,Proposed method,Model generation,Standard language每based modeling,Unspecified context,N/A,UML,Class,General,[GPT; Mistral],Zero-shot+Role+Prompt Chaining+Self-Refine,No,N/A,No,No,F-measure[Sem; Correctness+Completeness; True; Quant; obj]; # of hallucinated elements[Sem; Hallucination; True; Quant; obj],No,No,Rule-based,Open,No,https://zenodo.org/records/15223349,N/A,https://zenodo.org/records/15223349
LLM-Enhanced SysML Formal Method for Flanking Protection in Train Autonomous Control System,2025,International Conference on Artificial Intelligence and Autonomous Transportation,Conference,Proposed method,Model generation,Standard language每based modeling,Software Requirements,Requirement Specification,SysML v1,Use Case; Sequence; Requirement,Train Autonomous Control System,Unspecified,Zero-shot+Iterative(Tool),Fine-tuning,Unspecified,No,No,No,No,No,No,Closed,No,No,No,No
Automated Generation of BPMN Processes from Textual Requirements,2025,International Conference on Service-Oriented Computing,Conference,Proposed method,Model generation,Standard language每based modeling,Software Requirements,Requirement Specification,BPMN,Process,General,GPT,Unspecified,Fine-tuning,GPT,bpmn.js,No,% of correct models[Sem; Correctness; True; Quant; obj],Total task duration,No,LLM-based,Open; Closed,No,No,No,No
Assessing the Suitability of Large Language Models in Generating UML Class Diagrams as Conceptual Models,2025,"Enterprise, Business-Process and Information Systems Modeling (BPMDS, EMMSAD)",Conference,Benchmarking and evaluation,Model generation,Standard language每based modeling,Unspecified context,N/A,UML,Class,General,[GPT; Claude; LLaMA; Phi; Falcon; Qwen; Mistral; Deepseek],[Zero-shot; Few-shot; Chain-of-thought],No,N/A,PlantUML,No,Precision[Sem; Correctness; True; Quant; obj]; Recall[Sem; Completeness; True; Quant; obj]; F-measure[Sem; Correctness+Completeness; True; Quant; obj],No,No,No,Open,https://github.com/IlKaiser/text2uml,https://osf.io/4sr5v,N/A,https://github.com/IlKaiser/text2uml
Exploring Business Process Model Similarity with LLMs: Challenges and Potentials,2025,Advanced Information Systems Engineering Workshops,Workshop,Proposed method,Model matching,N/A,Software Engineering Models and Methods,N/A,BPMN; Petri Net; EPC,Process,General,[BERT; LLaMA],Few-shot,No,N/A,No,No,No,No,No,Rule-based,Closed,https://github.com/Frazampino/ZampinoLongoPMUD,https://github.com/Frazampino/ZampinoLongoPMUD,N/A,No
LLM4Model: Automated Requirements Specification Model Authoring,2025,International Conference on Advanced Information Systems Engineering Forum and Doctoral Consortium,Conference,New idea or vision,Model generation,Domain-specific modeling,Software Requirements,Requirement Specification,DSL,Requirements Specification,General,GPT,Zero-shot+Prompt Chaining+Iterative(Human),No,N/A,No,Feedback-based refinement; Manual editing,F-measure[Sem; Correctness+Completeness; True; Quant; obj],Total task duration,No,No,Industrial - closed,No,No,N/A,No
Benchmarking LLMs for Business Architecture Modelling with Hierarchical Capability Maps,2025,International Conference on Advanced Information Systems Engineering,Conference,Benchmarking and evaluation,Model generation,Domain-specific modeling,Software Architecture,Architecture Synthesis,DSL,Business Capability Map,General,[GPT; LLaMA; Vicuna; Mistral],[Zero-shot; Few-shot; Chain-of-thought],No,N/A,No,No,% of hallucinated elements[Sem; Hallucination; True; Quant; obj],No,No,No,Industrial - closed,No,https://github.com/Iromie-Samarasekara/Iromie-Samarasekara-LLM-Driven-Capability-Modelling/tree/main,N/A,No
Leveraging LLMs for Domain Modeling: The Impact of Granularity and Strategy on Quality,2025,International Conference on Advanced Information Systems Engineering,Conference,Benchmarking and evaluation,Model generation,Standard language每based modeling,Software Requirements,Requirement Specification,UML,Use Case; Class,General,[GPT; LLaMA],[Zero-shot; Zero-shot+Prompt Chaining]; [Zero-shot+Prompt Chaining],No,N/A,PlantUML,No,Rating[Sem; Correctness+Completeness; True; Qual; subj]; Redundancy rating[Sem; Hallucination; True; Qual; subj]; # of syntactic errors[Syn; Correctness; False; Quant; obj],No,No,No,Closed,No,No,N/A,No
Towards an Approach for Extracting UML Class Diagrams Using Advanced Language Models,2025,International Conference on Smart City Applications,Conference,New idea or vision,Model generation,Standard language每based modeling,Unspecified context,N/A,UML,Class,General,Unspecified,Unspecified,No,N/A,No,No,No,No,No,No,No,No,No,N/A,No
Generating Domain Models with LLMs Using Instruction Tuning: A Research Preview,2025,International Working Conference on Requirements Engineering: Foundation for Software Quality,Conference,New idea or vision,Model generation,Standard language每based modeling,Unspecified context,N/A,UML,Class,General,[LLaMA; Mistral; Gemma],[Few-shot; Chain-of-thought],Instruction tuning,[LLaMA; Mistral; Gemma],No,No,No,No,No,No,No,No,No,No,No
Automating Automation: Using LLMs to?Generate BPMN Workflows for?Robotic Process Automation,2025,"World Congress in Computer Science, Computer Engineering and Applied Computing",Conference,Proposed method,Model generation,Standard language每based modeling,Unspecified context,N/A,BPMN,Process,Robotic Process Automation,GPT,Zero-shot,No,N/A,Camunda Modeler,No,Accuracy[Sem; Correctness; True; Quant; obj],No,No,No,Closed,No,No,N/A,No
MDE in?the?Era of?Generative AI,2025,International Conference on Verification and Evaluation of Computer and Communication Systems,Conference,Proposed method,Model generation,Standard language每based modeling; DSL development,Unspecified context,N/A,Ecore; DSL,DSM,General,[GPT; LLaMA; Mistral; Gemma; C4AI],[Zero-shot; Grammar prompting+Chain-of-thought; Grammer prompting+Chain-of-thought+Iterative(Tool)],Fine-tuning,Unspecified,[Eclipse Modeling Framework; PyEcore],No,# of syntactic errors[Syn; Correctness; False; Quant; obj]; Success rate[Syn; Correctness; False; Quant; obj],No,No,No,Closed,https://github.com/AlaouiMdaghriAhmed/Ecore-Gen,No,No,No
Process Modeler vs. Chatbot: Is Generative AI Taking over Process Modeling?,2025,Process Mining Workshops,Workshop,Benchmarking and evaluation,Model generation,Standard language每based modeling,Unspecified context,N/A,BPMN,Process,General,GPT,Zero-shot,No,N/A,[Mermaid.js; Graphviz],No,Accuracy[Sem; Correctness; True; Quant; obj],No,No,No,Open,No,No,N/A,No
Terpsichora: A Tool to Generate Synthetic MP-Declare Process Models,2025,Process Mining Workshops,Workshop,Proposed method,Model synthesis,N/A,Software Engineering Models and Methods,N/A,Declare,Process,General,GPT,Few-shot+Iterative(Tool)+Role,No,N/A,Pydantic,No,Size[Sem; Complexity; False; Quant; obj]; Density[Sem; Complexity; False; Quant; obj]; Separability[Sem; Complexity; False; Quant; obj]; Variability[Sem; Complexity; False; Quant; obj],No,No,No,Open,https://github.com/santos-wesley/Terpsichora,No,N/A,https://github.com/santos-wesley/Terpsichora/tree/main/Models
PM-LLM-Benchmark: Evaluating Large Language Models on Process Mining Tasks,2025,Process Mining Workshops,Workshop,Benchmarking and evaluation,Model generation; Model comprehension,Standard language每based modeling; Formal process modeling,Software Engineering Models and Methods,N/A,BPMN; Declare,Process,General,[GPT; Claude; Gemini; Qwen; WizardLM; LLaMA; Mistral; Codestral; OpenChat; Gemma],Unspecified,No,N/A,No,No,Rating[Sem; Correctness; True; Qual; subj],No,No,No,Open,https://github.com/fit-alessandro-berti/pm-llm-benchmark,https://github.com/fit-alessandro-berti/pm-llm-benchmark/tree/main/questions,N/A,https://github.com/fit-alessandro-berti/pm-llm-benchmark
Nala2BPMN: Automating BPMN Model Generation with?Large Language Models,2025,International Conference on Cooperative Information Systems,Conference,Tool demo,Model generation,Standard language每based modeling,Unspecified context,N/A,BPMN,Process,General,GPT,Few-shot+Prompt Chaining+Iterative(Tool)+Role,No,N/A,bpmn-visualization,Manual editing,Rating[Sem; Correctness; True; Qual; subj]; Rating[Sem; Completeness; True; Qual; subj]; Relevance rating[Sem; Hallucination; True; Qual; subj]; Understandability rating[Sem; Human-centric; True; Qual; subj]; Ease of updating rating[Sem; Human-centric; True; Qual; subj],No,Token consumption,LLM-based,Open,No,No,N/A,No
"ProcessLLM: A Large Language Model Specialized in the Interpretation, Analysis, and Optimization of Business Processes",2025,Business Process Management Workshops,Workshop,Proposed method,Model comprehension,N/A,Software Engineering Models and Methods,N/A,BPMN,Process,General,LLaMA,Unspecified,Fine-tuning,LLaMA,No,No,No,Inference/generation time,No,LLM-based,Closed,https://github.com/ProcessLLM-developers/ProcessLLM,No,https://huggingface.co/ProcessLLM-developers/ProcessLLM,No
Large Language Models for?Democratizing Business Process Modeling: BPMN Model Generation and?Style Guide Adherence,2025,Southern African Conference for Artificial Intelligence Research,Conference,Proposed method,"Model generation; 
Model comprehension; 
Model restructuring",Standard language每based modeling,Software Engineering Models and Methods,N/A,BPMN,Process,General,GPT,[Zero-shot]; [Zero-shot]; [Zero-shot+Style],No,N/A,No,No,Precision[Sem; Correctness; True; Quant; obj]; Recall[Sem; Completeness; True; Quant; obj]; F-measure[Sem; Correctness+Completeness; True; Quant; obj],No,No,No,Open,No,No,N/A,No
Grass-Root Enterprise Modelling: How Large Language Models Can Help,2025,IFIP Working Conference on The Practice of Enterprise Modeling,Conference,Proposed method,Model generation,Enterprise modeling,Software Requirements,Requirement Specification,4EM,Goal,General,GPT,Unspecified,No,N/A,No,No,% of covered elements[Sem; Completeness; True; Quant; obj]; Importability rate[Syn; Correctness; False; Quant; obj]; Precision[Sem; Correctness; True; Quant; obj],No,No,No,Closed,No,No,N/A,No
Assessing Model Quality Using Large Language Models,2025,IFIP Working Conference on The Practice of Enterprise Modeling,Conference,Proposed method,Model analysis,N/A,Software Engineering Models and Methods,N/A,4EM,Goal,General,GPT,Zero-shot,No,N/A,No,No,No,No,No,No,Open,No,https://zenodo.org/records/13882605,N/A,https://zenodo.org/records/13882605
A Paradigm Shift to Causal Model-Driven Decision-Making With Generative AI,2025,International Conference on AI and Multimodal Services,Conference,Proposed method,Model generation,Causal inference,Software Engineering Models and Methods,N/A,DSL,Causal,General,Unspecified,Unspecified,No,N/A,No,No,No,No,No,No,Closed,No,No,N/A,No
Application of?the?Tree-of-Thoughts Framework to?LLM-Enabled Domain Modeling,2025,International Conference on Conceptual Modeling,Conference,Proposed method,Model generation,Standard language每based modeling,Unspecified context,N/A,UML,Class,General,GPT,Tree-of-Thoughts,No,N/A,PlantUML,No,Precision[Sem; Correctness; True; Quant; obj]; Recall[Sem; Completeness; True; Quant; obj]; F-measure[Sem; Correctness+Completeness; True; Quant; obj],No,No,No,Open,https://github.com/BESSER-PEARL/dsl-tot-dm,No,N/A,https://github.com/BESSER-PEARL/dsl-tot-dm
A Universal Prompting Strategy for Extracting Process Model Information from Natural Language Text Using Large Language Models,2025,International Conference on Conceptual Modeling,Conference,Proposed method,Model element extraction,N/A,Unspecified context,N/A,BPMN,Process,General,GPT,Role+Few-shot+Chain-of-thought,No,N/A,No,No,Precision[Sem; Correctness; True; Quant; obj]; Recall[Sem; Completeness; True; Quant; obj]; F-measure[Sem; Correctness+Completeness; True; Quant; obj],No,No,[Hybrid; Deep learning; LLM-based],Open,https://github.com/JulianNeuberger/llm-process-generation/tree/er2024,https://github.com/JulianNeuberger/llm-process-generation/tree/er2024/res/answers,N/A,No
How are LLMs Used for?Conceptual Modeling? An Exploratory Study on?Interaction Behavior and?User Perception,2025,International Conference on Conceptual Modeling,Conference,Benchmarking and evaluation,Model generation,Standard language每based modeling,Software Requirements,Requirement Specification,UML,Use Case; Class,General,[GPT; LLaMA],Unspecified,No,N/A,No,No,No,No,No,No,Open,No,https://zenodo.org/records/13513891,N/A,https://zenodo.org/records/13513891
Enhancing Domain Modeling with?Pre-trained Large Language Models: An Automated Assistant for?Domain Modelers,2025,International Conference on Conceptual Modeling,Conference,Proposed method,Model generation,Standard language每based modeling,Unspecified context,N/A,UML,Class,General,[Mistral; LLaMA],Few-shot+Chain-of-thought,RAG,[Mistral; LLaMA],No,No,Precision[Sem; Correctness; True; Quant; obj]; Recall[Sem; Completeness; True; Quant; obj]; F-measure[Sem; Correctness+Completeness; True; Quant; obj],No,No,No,Open,https://github.com/dataspecer/llm-assistant,No,N/A,https://github.com/dataspecer/domain-modeling-benchmark
How Does UML Look and Sound? Using AI to Interpret UML Diagrams Through Multimodal Evidence,2025,Advances in Conceptual Modeling, Workshop,Proposed method,Model comprehension,N/A,Software Engineering Models and Methods,N/A,UML,Class; Object; Use Case; Sequence; Collaboration; Activity; State Machine; Component; Deployment; Timing; Interaction; Communication; Composite structure; Package,Education,Unspecified,Unspecified,No,N/A,No,No,No,No,No,No,Unspecified,No,No,N/A,No
How Well Do LLMs Understand DEECo Ensemble-Based Component Architectures,2025,International Symposium on Leveraging Applications of Formal Methods,Conference,Benchmarking and evaluation,Model comprehension,N/A,Software Engineering Models and Methods,N/A,DSL,DEECo Component,Collective adaptive systems,GPT,Zero-shot,No,N/A,No,No,No,No,No,No,Unspecified,No,https://github.com/smartarch/llm-deeco,N/A,No
An Empirical Study on Leveraging LLMs for Metamodels and Code Co-evolution,2024,European Conference on Modelling Foundations and Applications,Conference,Proposed method,Model-based code evolution,N/A,Software Maintenance,Evolution of Software,Ecore,DSM,General,GPT,Zero-shot,No,N/A,Eclipse Modeling Framework,No,No,No,No,Rule-based,Open,https://figshare.com/s/bf35039892799c0e6f34?file=44666824,No,N/A,https://figshare.com/s/bf35039892799c0e6f34?file=44666824
Facilitating User-Centric Model-Based Systems Engineering Using Generative AI,2024,International Conference on Model-Based Software and Systems Engineering,Conference,Proposed method,Model generation,Standard language每based modeling,Software Design,Model-Based Design,UML,Component,General,GPT,Zero-shot,Fine-tuning,GPT,No,No,No,No,Token consumption,No,Closed,No,No,No,No
Coding by Design: GPT-4 Empowers Agile Model Driven Development,2024,International Conference on Model-Based Software and Systems Engineering,Conference,Proposed method,Model-based code generation,N/A,Software Construction,Coding,UML; OCL; DSL,Class; Activity; State Machine; Constraint; Ontology,General,GPT,Unspecified,No,N/A,PlantUML,No,No,No,No,No,Closed,No,No,N/A,No
Transforming System Modeling with Declarative Methods and Generative AI,2024,AIAA SciTech Forum,Conference,Proposed method,Model generation,Domain-specifc modeling,Software Requirements,Requirement Specification,DSL,DSM,General,GPT,Zero-shot,No,N/A,No,No,No,Inference/generation time; Total task duration,Monetary cost; Token consumption,No,Closed,No,No,N/A,No
"Minimal Data, Maximal Impact: Language Model-based Pipelines for the Automatic Generation of Use Case Diagrams from Requirements",2024,Symposium Design for X,Conference,Proposed method,Model generation,Standard language每based modeling,Software Requirements,Requirement Specification,UML,Use Case,General,Mistral,Role+One-shot+Chain-of-thought,No,N/A,No,No,No,No,No,No,Closed,No,No,N/A,No
From Natural Language to Web Applications: Using Large Language Models for Model-Driven Software Engineering,2024,Modellierung,Conference,Proposed method,Model generation,Standard language每based modeling,Software Requirements; Software Design; Software Construction,"Requirement Specification; 
Model-based Design; 
Coding",UML,Class,General,GPT,[Zero-shot; One-shot; Few-shot],No,N/A,MontiGEM~\cite{adam2020enterprise},No,Cosine similarity[Sem; Consistency; True; Quant; obj]; Success rate[Syn; Correctness; False; Quant; obj]; Rating[Sem; Correctness; True; Qual; subj],No,No,No,Closed,No,No,N/A,No
Towards Synthetic Trace Generation of Modeling Operations using In-Context Learning Approach,2024,International Conference on Automated Software Engineering,Conference,Proposed method,Model operation,N/A,Software Engineering Models and Methods,N/A,Ecore,DSM,CPS,[Gemini; GPT; LLaMA],Few-shot,No,N/A,[Eclipse Modeling Framework; Modeling Event Recorder (MER)~\cite{dehghani2023towards}; MORGAN~\cite{di2023morgan}; HEPSYCODE],No,Precision[Sem; Correctness; True; Quant; obj]; Recall[Sem; Completeness; True; Quant; obj]; F-measure[Sem; Correctness+Completeness; True; Quant; obj],Inference/generation time; Total task duration,No,No,"Closed; 
Industrial - closed",https://github.com/hepsycode/modelingOperationRec_ASE,https://github.com/hepsycode/modelingOperationRec_ASE,N/A,No
Towards an In-Context LLM-Based Approach for Automating the Definition of Model Views,2024,ACM SIGPLAN International Conference on Software Language Engineering,Conference,Proposed method,Model view generation,N/A,Software Engineering Models and Methods,N/A,Ecore; UML,DSM; Class,General,GPT,Few-shot+Chain-of-thought+Iterative(Tool),No,N/A,[PyEcore; Eclipse Modeling Framework; PlantUML],No,No,No,No,LLM-based,Open,https://zenodo.org/records/13827683,https://zenodo.org/records/13827683,N/A,https://zenodo.org/records/13827683
Evaluating Large Language Models in Exercises of UML Class Diagram Modeling,2024,International Symposium on Empirical Software Engineering and Measurement,Conference,Benchmarking and evaluation,Model generation,Standard language每based modeling,Unspecified context,N/A,UML,Class,Education,GPT,Zero-shot,No,N/A,[PlantUML; PlantText],No,# of incorrect elements[Sem; Correctness; True; Quant; obj]; # of pragmatic errors[Sem; Human-centric; True; Quant; obj]; Model distance[Sem; Correctness; True; Quant; obj]; # of syntactic errors[Syn; Correctness; False; Quant; obj],No,No,No,Open,No,No,N/A,http://doi.org/10.6084/m9.figshare.25434550
Testing Learning-Enabled Cyber-Physical Systems with Large-Language Models: A Formal Approach,2024,ACM International Conference on the Foundations of Software Engineering: Companion Proceedings,Conference,New idea or vision,Model-based test generation,N/A,Software Testing,Test Design and Implementation,DSL,DSM,ADS,Unspecified,Few-shot,Fine-tuning,Unspecified,No,No,No,No,No,No,No,No,No,No,No
Turning Low-Code Development Platforms into True No-Code with LLMs,2024,International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings,Workshop,Proposed method,Model generation,Domain-specific modeling,Software Requirements; Software Design; Software Construction,"Requirement Specification; 
Model-based Design; 
Coding",DSL,DSM,General,GPT,Few-shot,No,N/A,No,Manual editing,No,Total task duration,No,No,Closed,No,No,N/A,No
From a Natural to a Formal Language with DSL Assistant,2024,International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings,Workshop,Proposed method,Model generation,DSL development,Software Engineering Models and Methods,N/A,DSL,DSM,General,GPT,[Zero-shot+Iterative(Tool)],No,N/A,Eclipse Modeling Framework,No,Success rate[Syn; Correctness; False; Quant; obj],No,No,No,Closed,No,No,N/A,No
On the use of LLMs to support the development of domain-specific modeling languages,2024,International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings,Workshop,Proposed method,Model mutation,N/A,Software Engineering Models and Methods,N/A,DSL,DSM,General,GPT,Chain-of-thought,Knowledge base,GPT,[PyEcore; Eclipse Modeling Framework],No,No,No,No,No,Closed,No,No,N/A,No
Multi-step Iterative Automated Domain Modeling with Large Language Models,2024,International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings,Workshop,Proposed method,Model generation,Standard language每based modeling,Unspecified context,N/A,UML,Class,General,GPT,Few-shot+Prompt Chaining+Self-Refine,No,N/A,No,No,Precision[Sem; Correctness; True; Quant; obj]; Recall[Sem; Completeness; True; Quant; obj]; F-measure[Sem; Correctness+Completeness; True; Quant; obj],No,No,LLM-based,Open,https://github.com/YujingYang666777/DomainModelGeneration,https://github.com/YujingYang666777/DomainModelGeneration,N/A,https://github.com/YujingYang666777/DomainModelGeneration
White-box LLM-supported Low-code Engineering: A Vision and First Insights,2024,International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings,Workshop,New idea or vision,Model-based code generation,N/A,Software Construction,Coding,UML,Class,General,GitHub Copilot,Zero-shot,No,N/A,Valkyrie,No,No,No,No,No,Open,No,No,N/A,https://github.com/scx-othr/mdeintelligence24-shop-example/tree/main/src/valkyrie
"Prompting Bidirectional Model Transformations - The Good, The Bad and The Ugly",2024,International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings,Workshop,Benchmarking and evaluation,Model-based code generation,N/A,Software Construction,Coding,Unspecified,Unspecified,General,GPT,Zero-shot,No,N/A,No,No,No,No,No,No,Open,https://github.com/tbuchmann/families-to-persons-ai,https://github.com/tbuchmann/families-to-persons-ai/tree/main/prompts,N/A,No
A RAG-based Feedback Tool to Augment UML Class Diagram Learning,2024,International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings,Conference,Tool demo,Model analysis,N/A,Software Engineering Models and Methods,N/A,UML,Class,Education,LLaMA,Unspecified,RAG,LLaMA,Visual Paradigm,No,No,No,No,No,Closed,No,No,N/A,No
DSL-Xpert: LLM-driven Generic DSL Code Generation,2024,International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings,Conference,Tool demo,Model generation,Domain-specific modeling,Software Engineering Models and Methods,N/A,DSL,DSM,General,GPT,Few-shot,No,N/A,No,No,No,No,No,No,Closed,https://github.com/lbdudc/dsl-xpert,No,N/A,No
