Author,Title,Year,DOI,Link,Type,Venue,
Liao X.; Wang C.; Li B.; Li B.; Du C.,Professional Barriers in Energy Efficiency Retrofits¡ªA Solution Based on Information Flow Modeling,2025,10.3390/buildings15020280,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215933262&doi=10.3390%2fbuildings15020280&partnerID=40&md5=6fa7830a97b63694594a9ac9d320fa93,Review,Buildings,
Wang L.; Wang M.-C.; Zhang Y.-R.; Ma J.; Shao H.-Y.; Chang Z.-X.,Automated Identification and Representation of System Requirements Based on Large Language Models and Knowledge Graphs,2025,10.3390/app15073502,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002283101&doi=10.3390%2fapp15073502&partnerID=40&md5=be47df56f82c0f85c2b31b1a47723dba,Article,Applied Sciences (Switzerland),
Mart¨ªnez-G¨¢rate ¨¢.; Aguilar-Calder¨®n J.A.; Tripp-Barba C.; Zald¨ªvar-Colado A.,Enhancing Conversational Agent Development Through a Semi-Automatization Development Proposal,2025,10.3390/app15031139,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217572386&doi=10.3390%2fapp15031139&partnerID=40&md5=c792bafea1b3fa2c2c6b706f9b382ffd,Article,Applied Sciences (Switzerland),
Barzdins J.; Kalnins A.; Barzdins P.,Towards Universal Modeling Language for Neural Networks,2025,10.22364/bjmc.2025.13.1.03,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001125120&doi=10.22364%2fbjmc.2025.13.1.03&partnerID=40&md5=c19c32af58baf1f7430b5effc4bbc38d,Article,Baltic Journal of Modern Computing,
Modak S.; Patton N.T.; Dillig I.; Biswas J.,SYNAPSE: SYmbolic Neural-Aided Preference Synthesis Engine,2025,10.1609/aaai.v39i26.34965,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004060637&doi=10.1609%2faaai.v39i26.34965&partnerID=40&md5=3d1aa889700c880051db633cb8f75687,Conference paper,Proceedings of the AAAI Conference on Artificial Intelligence,
Yin C.; Li F.; Zhang S.; Wang Z.; Shao J.; Li P.; Chen J.; Jiang X.,MDD-5k: A New Diagnostic Conversation Dataset for Mental Disorders Synthesized via Neuro-Symbolic LLM Agents,2025,10.1609/aaai.v39i24.34763,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004003064&doi=10.1609%2faaai.v39i24.34763&partnerID=40&md5=d0266d28a254314d8ffd5b1e2983604f,Conference paper,Proceedings of the AAAI Conference on Artificial Intelligence,
Li H.; Ai Q.; Chen J.; Dong Q.; Wu Z.; Liu Y.,BLADE: Enhancing Black-Box Large Language Models with Small Domain-Specific Models,2025,10.1609/aaai.v39i23.34620,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004183723&doi=10.1609%2faaai.v39i23.34620&partnerID=40&md5=104bc7fe3fb9136e436a8ffb190d5b76,Conference paper,Proceedings of the AAAI Conference on Artificial Intelligence,
"Manimaran, Ravinkumar; Ali, Jarinah Mohd; Abd Rahman, Norliza; Mohd Said, Mazlina; Hussain, Mohamed Azlan",Enhancing batch reactor temperature control: a hybrid PID-MPC approach for magnesium stearate production from palm stearin,2025,10.1515/ijcre-2025-0024,,J,INTERNATIONAL JOURNAL OF CHEMICAL REACTOR ENGINEERING,
Benfarha M.; Lamarti M.S.; Khaldi M.,Design and Modeling of a Dynamic Adaptive Hypermedia System Based on Learners¡¯ Needs and Profile,2025,10.14569/IJACSA.2025.0160460,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004045325&doi=10.14569%2fIJACSA.2025.0160460&partnerID=40&md5=442be5080289bc75145f9bb562b17c8e,Article,International Journal of Advanced Computer Science and Applications,
Yan H.; Shao D.,Multimodal Medical Image Analysis: Integrating LLM and RAG Deep Learning Strategies,2025,10.12720/jait.16.4.568-581,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005004886&doi=10.12720%2fjait.16.4.568-581&partnerID=40&md5=a0cebbf5023355742e2e519c0c8d3862,Article,Journal of Advances in Information Technology,
Jingqiang LiuRuigang LiangXiaoxi ZhuYue ZhangYuling LiuQixu Liu,LLM4TDG: test-driven generation of large language models based on enhanced constraint reasoning,2025,10.1186/s42400-024-00335-4,https://link.springer.com/article/10.1186/s42400-024-00335-4,Article,Cybersecurity,
"Barat, Souvik and Mulpuru, Dushyanthi and Yadav, Abhishek and Korabu, Reshma and Thogaru, Himabindu and Kulkarni, Vinay",Constructing Enterprise Digital Twins by Augmenting LLMs with MDE,2025,10.1145/3717383.3717391,https://doi.org/10.1145/3717383.3717391,Conference paper,ISEC '25,
Susnjak T.; Hwang P.; Reyes N.; Barczak A.L.C.; Mcintosh T.; Ranathunga S.,Automating Research Synthesis with Domain-Specific Large Language Model Fine-Tuning,2025,10.1145/3715964,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002570614&doi=10.1145%2f3715964&partnerID=40&md5=3e8e70c00dd49981b6675b3a93301ada,Article,ACM Transactions on Knowledge Discovery from Data,
"Wu, Chunlian and Chen, Sen and Li, Jiaming and Chai, Renchao and Fan, Lingling and Xie, Xiaofei and Feng, Ruitao",Beyond Decision: Android Malware Description Generation through Profiling Malicious Behavior Trajectory,2025,10.1145/3715909,https://doi.org/10.1145/3715909,Journal,ACM Trans. Softw. Eng. Methodol.,
"Barile, Francesco and Deli\'{c","GMAP 2025: 4th Workshop on Group Modeling, Adaptation and Personalization",2025,10.1145/3708319.3727559,https://doi.org/10.1145/3708319.3727559,Conference paper,UMAP Adjunct '25,
"Duman-Ozdamar, Zeynep Efsun; Julsing, Mattijs K.; dos Santos, Vitor A. P. Martins; Hugenholtz, Jeroen; Suarez-Diez, Maria",Model-Driven Engineering of Yarrowia lipolytica for Improved Microbial Oil Production,2025,10.1111/1751-7915.70089,,J,MICROBIAL BIOTECHNOLOGY,
Zhuang H.; Fang D.; Tong K.; Liu Y.; Zeng Z.; Zhou X.; Chen C.,Online Analytic Exemplar-Free Continual Learning With Large Models for Imbalanced Autonomous Driving Task,2025,10.1109/TVT.2024.3483557,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207396280&doi=10.1109%2fTVT.2024.3483557&partnerID=40&md5=041f6f86a0f89b8f780d82b50c337bc7,Article,IEEE Transactions on Vehicular Technology,
Deng Y.; Tu Z.; Yao J.; Zhang M.; Zhang T.; Zheng X.,TARGET: Traffic Rule-based Test Generation for Autonomous Driving Systems,2025,10.1109/TSE.2025.3569086,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004883167&doi=10.1109%2fTSE.2025.3569086&partnerID=40&md5=ffe6a6cf467fdc4e83f74c362c86c567,Article,IEEE Transactions on Software Engineering,
"Carbone, Alessandra; Decelle, Aurelien; Rosset, Lorenzo; Seoane, Beatriz",Fast and Functional Structured Data Generators Rooted in Out-of-Equilibrium Physics,2025,10.1109/TPAMI.2024.3495999,,J,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,
Dou H.; Lu J.; Li Z.; Zhong X.; Yao W.; Yang L.; Deng Y.,Score-Based Neural Processes,2025,10.1109/TNNLS.2025.3527223,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216281358&doi=10.1109%2fTNNLS.2025.3527223&partnerID=40&md5=b3560f232f5edc0036554b9a5d23f3d7,Article,IEEE Transactions on Neural Networks and Learning Systems,
"Ma, Shihan; Clarke, Alexander Kenneth; Maksymenko, Kostiantyn; Deslauriers-Gauthier, Samuel; Sheng, Xinjun; Zhu, Xiangyang; Farina, Dario",Conditional Generative Models for Simulation of EMG During Naturalistic Movements,2025,10.1109/TNNLS.2024.3438368,,J,IEEE TRANSACTIONS ON NEURAL NETWORKS AND LEARNING SYSTEMS,
"Baur, Michael; Turan, Nurettin; Wallner, Simon; Utschick, Wolfgang",Evaluation Metrics and Methods for Generative Models in the Wireless PHY Layer,2025,10.1109/TMLCN.2025.3571026,,J,IEEE TRANSACTIONS ON MACHINE LEARNING IN COMMUNICATIONS AND NETWORKING,
"Wang, Deliang; Zheng, Yaqian; Li, Jinjiang; Chen, Gaowei",Parameter-Efficiently Fine-Tuning Large Language Models for Classroom Dialogue Analysis,2025,10.1109/TLT.2025.3567995,,J,IEEE TRANSACTIONS ON LEARNING TECHNOLOGIES,
"Wang, Shuting; Dou, Zhicheng; Wang, Kexiang; Ma, Dehong; Fan, Jun; Shi, Daiting; Cheng, Zhicong; Gu, Simiu; Yin, Dawei; Wen, Ji-Rong",PRADA: Pre-Train Ranking Models With Diverse Relevance Signals Mined From Search Logs,2025,10.1109/TKDE.2024.3515800,,J,IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,
"Movahedi, Mohammad; Choi, Juyeong",The Crossroads of LLM and Traffic Control: A Study on Large Language Models in Adaptive Traffic Signal Control,2025,10.1109/TITS.2024.3498735,,J,IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,
"Chai, Lu; Wang, Zidong; Shao, Yuheng; Liu, Qinyuan",A Novel Hierarchical Generative Model for Semi-Supervised Semantic Segmentation of Biomedical Images,2025,10.1109/TETCI.2025.3540418,,J,IEEE TRANSACTIONS ON EMERGING TOPICS IN COMPUTATIONAL INTELLIGENCE,
"Qian, Yining; Su, Lijie; Xu, Meiling; Tang, Lixin",Enhanced Protein Secondary Structure Prediction Through Multi-View Multi-Feature Evolutionary Deep Fusion Method,2025,10.1109/TETCI.2024.3523772,,J,IEEE TRANSACTIONS ON EMERGING TOPICS IN COMPUTATIONAL INTELLIGENCE,
"Hu, Juan; Liang, Jinwen; Qin, Zheng; Liao, Xin; Zhou, Wenbo; Lin, Xiaodong",ADA-FInfer: Inferring Face Representations From Adaptive Select Frames for High-Visual-Quality Deepfake Detection,2025,10.1109/TDSC.2024.3523289,,J,IEEE TRANSACTIONS ON DEPENDABLE AND SECURE COMPUTING,
"Cai, Zhefei; Fan, Yingle; Zhu, Minwei; Fang, Tao",Ultra-Lightweight Network for Medical Image Segmentation Inspired by Bio-Visual Interaction,2025,10.1109/TCSVT.2024.3507383,,J,IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS FOR VIDEO TECHNOLOGY,
"Zhang, Zicheng; Ke, Wei; Zhu, Yi; Liang, Xiaodan; Liu, Jianzhuang; Ye, Qixiang; Zhang, Tong",Language-Driven Visual Consensus for Zero-Shot Semantic Segmentation,2025,10.1109/TCSVT.2024.3504816,,J,IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS FOR VIDEO TECHNOLOGY,
"Kumar, Akshi; Sharma, Aditi; Sangwan, Saurabh Raj",DynaMentA: Dynamic Prompt Engineering and Weighted Transformer Architecture for Mental Health Classification Using Social Media Data,2025,10.1109/TCSS.2025.3569400,,J,IEEE TRANSACTIONS ON COMPUTATIONAL SOCIAL SYSTEMS,
"Qian, Zhongsheng; Zhu, Hui; Liu, Jinping; Wan, Zilong",Harnessing Generative Large Language Models for Dynamic Intention Understanding in Recommender Systems: Insights From a Client-Designer Interaction Case Study,2025,10.1109/TCSS.2024.3494265,,J,IEEE TRANSACTIONS ON COMPUTATIONAL SOCIAL SYSTEMS,
J. Koo; C. Jeon; J. -Y. Sim,A Fully Differential Distributed RC Oscillator With a Suppression of Noise and Temperature Sensitivities,2025,10.1109/TCSII.2025.3574549,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11024059,IEEE Early Access Articles,IEEE Transactions on Circuits and Systems II: Express Briefs,
"Li, Lishuang; Hao, Jing; Lu, Hongbin; Tang, Jingyao",Document-Level Biomedical Relation Extraction via Knowledge-Enhanced Graph and Dynamic Generative Adversarial Networks,2025,10.1109/TCBBIO.2025.3539987,,J,IEEE TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS,
"Wang, Wenkang; Shuai, Yunyan; Li, Yiming; Zeng, Min; Li, Min",Enhancing Protein Function Prediction Through the Fusion of Multi-Type Biological Knowledge With Protein Language Model and Graph Neural Network,2025,10.1109/TCBBIO.2025.3529301,,J,IEEE TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS,
"Sun, Jiawei; Qian, Weiye; Ma, Nan; Liu, Wenjia; Yang, Zhiyuan",Datt-AVP: Antiviral Peptide Prediction by Sequence-Based Dual Channel Network With Attention Mechanism,2025,10.1109/TCBBIO.2024.3524607,,J,IEEE TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS,
"Malusare, Aditya; Aggarwal, Vaneet",Improving Molecule Generation and Drug Discovery With a Knowledge-Enhanced Generative Model,2025,10.1109/TCBB.2024.3477313,,J,IEEE TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS,
Rezayi S.; Liu Z.; Wu Z.; Dhakal C.; Ge B.; Dai H.; Mai G.; Liu N.; Zhen C.; Liu T.; Li S.,Exploring New Frontiers in Agricultural NLP: Investigating the Potential of Large Language Models for Food Applications,2025,10.1109/TBDATA.2024.3442542,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201463745&doi=10.1109%2fTBDATA.2024.3442542&partnerID=40&md5=f956c592ec44b749f90f6155572cd6d4,Article,IEEE Transactions on Big Data,
"Ma, Rao; Qian, Mengjie; Gales, Mark; Knill, Kate",ASR Error Correction Using Large Language Models,2025,10.1109/TASLPRO.2025.3551083,,J,IEEE TRANSACTIONS ON AUDIO SPEECH AND LANGUAGE PROCESSING,
"Wang, Quan; Dai, Songtai; Xu, Benfeng; Lyu, Yajuan; Wu, Hua; Wang, Haifeng",EHealth: A Chinese Biomedical Language Model Built via Multi-Level Text Discrimination,2025,10.1109/TASLPRO.2025.3536177,,J,IEEE TRANSACTIONS ON AUDIO SPEECH AND LANGUAGE PROCESSING,
Omar M.; Wang K.; Li R.; Kun D.; Abouelatta O.B.; Xie T.; Alkalla M.,NL-WCS: A Novel Data-Driven Algorithm for Extracting the Dynamics of Serial Robots Considering Non-Linear Friction,2025,10.1109/TASE.2025.3546920,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003038362&doi=10.1109%2fTASE.2025.3546920&partnerID=40&md5=54ffb97f961b66d78662fcf372c5bc4a,Article,IEEE Transactions on Automation Science and Engineering,
Nair R.P.; Thushara M.G.,NL2Code: A Hybrid NLP and Model-Driven Framework for Automated Code Generation from Natural Language and UML,2025,10.1109/SCEECS64059.2025.10940505,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002728769&doi=10.1109%2fSCEECS64059.2025.10940505&partnerID=40&md5=7a3d070a8f1b11798a3627858e3695ee,Conference paper,"2025 IEEE International Students' Conference on Electrical, Electronics and Computer Science, SCEECS 2025",
H. A. Siala; K. Lano,Towards Using LLMs in the Reverse Engineering of Software Systems to Object Constraint Language,2025,10.1109/SANER64311.2025.00096,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10992318,IEEE Conferences,"2025 IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER)",
J. Hassine,Evaluating Multi-Modal LLMs for Automatically Recognizing Semantic Elements in UML Use Case Diagram Images,2025,10.1109/SANER64311.2025.00092,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10992325,IEEE Conferences,"2025 IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER)",
"Farhan, Muhammad; Eesaar, Hassan; Ahmed, Afaq; Chong, Kil To; Tayara, Hilal",Transforming Highway Safety With Autonomous Drones and AI: A Framework for Incident Detection and Emergency Response,2025,10.1109/OJVT.2025.3549387,,J,IEEE OPEN JOURNAL OF VEHICULAR TECHNOLOGY,
"Sheraz, Muhammad; Chuah, Teong Chee; Tareen, Wajahat Ullah Khan; Al-Habashna, Ala'a; Saeed, Sohail Imran; Ahmed, Manzoor; Lee, It Ee; Guizani, Mohsen","A Comprehensive Survey on GenAI-Enabled 6G: Technologies, Challenges, and Future Research Avenues",2025,10.1109/OJCOMS.2025.3568496,,J,IEEE OPEN JOURNAL OF THE COMMUNICATIONS SOCIETY,
"Picano, Benedetta; Hoang, Dinh Thai; Nguyen, Diep N.",A Matching Game for LLM Layer Deployment in Heterogeneous Edge Networks,2025,10.1109/OJCOMS.2025.3561605,,J,IEEE OPEN JOURNAL OF THE COMMUNICATIONS SOCIETY,
"Sai, Siva; Sai, Revant; Chamola, Vinay","Generative AI for Industry 5.0: Analyzing the Impact of ChatGPT, DALLE, and Other Models",2025,10.1109/OJCOMS.2024.3400161,,J,IEEE OPEN JOURNAL OF THE COMMUNICATIONS SOCIETY,
G. Garaccione; P. F. Vega Carrazan; R. Coppola; L. Ardito,Evaluating Large Language Models in Exercises of UML Use Case Diagrams Modeling,2025,10.1109/NLBSE66842.2025.00015,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11029431,IEEE Conferences,2025 IEEE/ACM International Workshop on Natural Language-Based Software Engineering (NLBSE),
N. Ahmed; H. C. Kwok; M. Hamdaqa; W. K. G. AssunÃ§Ã£o,SMATCH-M-LLM: Semantic Similarity in Metamodel Matching With Large Language Models,2025,10.1109/MSR66628.2025.00040,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11025595,IEEE Conferences,2025 IEEE/ACM 22nd International Conference on Mining Software Repositories (MSR),
S. Gao; W. Liu; J. Zhu; X. Dong; J. Dong,Business Process Modeling Notation-Large Language Model: Transforming Business Processing Modeling Notation Models Into Smart Contracts Using Large Language Models,2025,10.1109/MS.2025.3553293,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10935604,IEEE Magazines,IEEE Software,
"Chen, Baotong; Liang, Haiquan; Wan, Jiafu; Wang, Chuangjian; Yan, Xuguo; Xia, Xuhui; Alqahtani, Salman A.",Exploring NetGPT-Enabled Dynamic Resource Management for Mobile D2D in Industrial IoT,2025,10.1109/MNET.2025.3532655,,J,IEEE NETWORK,
"Li, Siyuan; Lin, Xi; Liu, Yaju; Chen, Xiang; Li, Jianhua","Trustworthy AI-Generative Content for Intelligent Network Service: Robustness, Security, and Fairness",2025,10.1109/MCOM.004.2400646,,J,IEEE COMMUNICATIONS MAGAZINE,
"Xu, Xiaoxia; Zhong, Ruikang; Mu, Xidong; Liu, Yuanwei; Huang, Kaibin",Mobile Edge Generation-Enabled Digital Twin: Architecture Design and Research Opportunities,2025,10.1109/MCOM.002.2400224,,J,IEEE COMMUNICATIONS MAGAZINE,
"Maatouk, Ali; Piovesan, Nicola; Ayed, Fadhel; De Domenico, Antonio; Debbah, Merouane",Large Language Models for Telecom: Forthcoming Impact on the Industry,2025,10.1109/MCOM.001.2300473,,J,IEEE COMMUNICATIONS MAGAZINE,
"Liu, Yi; Hou, Haowen; Ma, Fei; Ni, Shiguang; Yu, Fei Richard",MLLM-TA: Leveraging Multimodal Large Language Models for Precise Temporal Video Grounding,2025,10.1109/LSP.2024.3511426,,J,IEEE SIGNAL PROCESSING LETTERS,
"Beck, Jacob; Kemeter, Lukas Malte; Duerrbeck, Konrad; Abdalla, Mohamed Hesham Ibrahim; Kreuter, Frauke",Toward Integrating ChatGPT Into Satellite Image Annotation Workflows: A Comparison of Label Quality and Costs of Human and Automated Annotators,2025,10.1109/JSTARS.2025.3528192,,J,IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,
"Zhang, Hanwen; Niyato, Dusit; Zhang, Wei; Zhao, Changyuan; Du, Hongyang; Jamalipour, Abbas; Sun, Sumei; Pei, Yiyang",The Role of Generative Artificial Intelligence in Internet of Electric Vehicles,2025,10.1109/JIOT.2024.3511961,,J,IEEE INTERNET OF THINGS JOURNAL,
"Zhang, Zixing; Dong, Zhongren; Xu, Weixiang; Han, Jing",Reparameterization of Lightweight Transformer for On-Device Speech Emotion Recognition,2025,10.1109/JIOT.2024.3483232,,J,IEEE INTERNET OF THINGS JOURNAL,
"Zhang, Hanwen; Li, Peichun; Dai, Minghui; Wu, Yuan; Qian, Liping",Efficient Federated Learning With Quality-Aware Generated Models: An Incentive Mechanism,2025,10.1109/JIOT.2024.3461329,,J,IEEE INTERNET OF THINGS JOURNAL,
"Vo, Hung Q.; Wang, Lin; Wong, Kelvin K.; Ezeana, Chika F.; Yu, Xiaohui; Yang, Wei; Chang, Jenny; Nguyen, Hien V.; Wong, Stephen T. C.",Frozen Large-Scale Pretrained Vision-Language Models are the Effective Foundational Backbone for Multimodal Breast Cancer Prediction,2025,10.1109/JBHI.2024.3507638,,J,IEEE JOURNAL OF BIOMEDICAL AND HEALTH INFORMATICS,
"Ding, Liangping; Colavizza, Giovanni; Zhang, Zhixiong",Partial Annotation Learning for Biomedical Entity Recognition,2025,10.1109/JBHI.2024.3466294,,J,IEEE JOURNAL OF BIOMEDICAL AND HEALTH INFORMATICS,
Yang H.; Chang J.; He W.; Wee C.F.; Yit J.S.T.; Feng M.,Frailty Modeling Using Machine Learning Methodologies: A Systematic Review With Discussions on Outstanding Questions,2025,10.1109/JBHI.2024.3430226,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199112078&doi=10.1109%2fJBHI.2024.3430226&partnerID=40&md5=18411c768a8caadd904b77acb3c2d3db,Article,IEEE Journal of Biomedical and Health Informatics,
"Jia, Xiaofeng; Li, Juanjuan; Wang, Shouwen; Qi, Hongwei; Wang, Fei-Yue; Qin, Rui; Zhang, Min; Liang, Xiaolong",Federated Services: A Smart Service Ecology with Federated Security for Aligned Data Supply and Scenario-Oriented Demands,2025,10.1109/JAS.2024.124860,,J,IEEE-CAA JOURNAL OF AUTOMATICA SINICA,
Petrovi? N.; Vujovi? V.; Zdravkovi? N.; Suljovi? S.; Dordevi? G.; Dordevi? S.,Metamodeling for network experimentation: ABEP of SC diversity with L branches under the combined effects of Rayleigh fading and BX co-channel interference (CCI) in WCN case study,2025,10.1109/INFOTEH64129.2025.10959254,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004339339&doi=10.1109%2fINFOTEH64129.2025.10959254&partnerID=40&md5=b26ca5a917be276d040240039eb67636,Conference paper,"2025 24th International Symposium INFOTEH-JAHORINA, INFOTEH 2025 - Proceedings",
R. Rubei; A. Di Salle; A. Bucaioni,LLM-Based Recommender Systems for Violation Resolutions in Continuous Architectural Conformance,2025,10.1109/ICSA-C65153.2025.00063,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11014984,IEEE Conferences,2025 IEEE 22nd International Conference on Software Architecture Companion (ICSA-C),
